date,label,fetch_ok,min_bt_50km,mean_bt_50km,cold_pixels_count,nearest_dist_km,storm_detected
2023-03-16,1,1,11.401,16.301,0,,False
2023-03-17,1,1,-12.14,11.725,0,,False
2023-04-03,1,1,5.779,19.257,0,,False
2023-04-04,1,1,-47.225,-10.626,11,25.969,True
2023-04-29,1,1,-23.445,1.148,0,,False
2023-04-30,1,1,5.931,9.805,0,,False
2023-05-01,1,1,-12.478,4.835,0,,False
2023-05-04,1,1,-8.945,0.027,0,,False
2023-05-06,1,1,-2.243,5.455,0,,False
2023-05-08,1,1,-7.801,6.117,0,,False
2023-05-11,1,1,-53.64,-13.174,56,21.41,True
2023-05-12,1,1,-46.206,-10.785,19,33.636,True
2023-05-13,1,1,-62.533,-44.361,316,2.165,True
2023-05-20,1,1,3.039,16.583,0,,False
2023-05-21,1,1,-11.32,15.642,0,,False
2023-05-22,1,1,0.663,15.924,0,,False
2023-05-23,1,1,-24.148,2.859,0,,False
2023-05-24,1,1,-7.059,16.392,0,,False
2023-05-29,1,1,-5.872,10.329,0,,False
2023-05-30,1,1,-18.876,4.17,0,,False
2023-06-01,1,1,-31.214,3.427,0,,False
2023-06-06,1,1,10.395,16.409,0,,False
2023-06-09,1,1,-20.534,11.194,0,,False
2023-06-11,1,1,-41.837,-6.247,3,5.171,True
2023-06-12,1,1,-13.045,5.547,0,,False
2023-06-14,1,1,5.658,14.277,0,,False
2023-06-17,1,1,-73.366,-60.208,476,2.165,True
2023-06-20,1,1,-61.412,-50.185,452,2.165,True
2023-06-22,1,1,-44.344,-13.962,4,45.653,True
2023-07-01,1,1,-41.604,-4.788,1,49.137,True
2023-07-02,1,1,-67.222,-62.053,493,2.165,True
2023-07-11,1,1,-43.076,-29.095,11,21.02,True
2023-07-13,1,1,-53.35,-22.886,66,2.878,True
2023-08-06,1,1,6.805,9.532,0,,False
2023-08-31,1,1,-22.533,0.447,0,,False
2023-10-10,1,1,2.317,11.252,0,,False
2023-10-11,1,1,-36.535,-2.858,0,,False
2023-10-30,1,1,-43.496,-11.674,12,26.155,True
2023-11-04,1,1,-63.06,-34.066,217,18.027,True
2023-11-06,1,,,,,,0
2023-11-07,1,1,-34.331,-6.993,0,,False
2015-01-02,0,,,,,,0
2015-01-16,0,,,,,,0
2015-01-19,0,,,,,,0
2015-01-27,0,,,,,,0
2015-01-28,0,,,,,,0
2015-02-01,0,,,,,,0
2015-02-02,0,,,,,,0
2015-02-03,0,,,,,,0
2015-02-04,0,,,,,,0
2015-02-15,0,,,,,,0
2015-02-16,0,,,,,,0
2015-02-22,0,,,,,,0
2015-02-23,0,,,,,,0
2015-02-28,1,,,,,,0
2015-03-02,0,,,,,,0
2015-03-03,1,,,,,,0
2015-03-06,1,,,,,,0
2015-03-09,0,,,,,,0
2015-03-13,0,,,,,,0
2015-03-16,0,,,,,,0
2015-03-22,0,,,,,,0
2015-03-26,0,,,,,,0
2015-04-03,0,,,,,,0
2015-04-08,0,,,,,,0
2015-04-11,1,,,,,,0
2015-04-13,1,,,,,,0
2015-04-14,1,,,,,,0
2015-04-17,1,,,,,,0
2015-04-21,1,,,,,,0
2015-04-22,1,,,,,,0
2015-04-23,1,,,,,,0
2015-04-24,0,,,,,,0
2015-04-25,1,,,,,,0
2015-04-26,1,,,,,,0
2015-04-28,1,,,,,,0
2015-04-29,1,,,,,,0
2015-04-30,1,,,,,,0
2015-05-02,1,,,,,,0
2015-05-07,0,,,,,,0
2015-05-16,1,,,,,,0
2015-05-17,1,,,,,,0
2015-05-18,1,,,,,,0
2015-05-19,1,,,,,,0
2015-05-22,0,,,,,,0
2015-05-26,0,,,,,,0
2015-05-27,1,,,,,,0
2015-05-28,1,,,,,,0
2015-05-29,1,,,,,,0
2015-06-09,0,,,,,,0
2015-06-14,0,,,,,,0
2015-06-16,0,,,,,,0
2015-06-19,0,,,,,,0
2015-06-24,0,,,,,,0
2015-06-27,0,,,,,,0
2015-07-02,0,,,,,,0
2015-07-11,0,,,,,,0
2015-07-15,0,,,,,,0
2015-07-18,0,,,,,,0
2015-07-19,0,,,,,,0
2015-07-20,0,,,,,,0
2015-07-21,1,,,,,,0
2015-07-22,0,,,,,,0
2015-07-23,0,,,,,,0
2015-07-24,0,,,,,,0
2015-07-25,0,,,,,,0
2015-07-29,0,,,,,,0
2015-07-30,0,,,,,,0
2015-07-31,1,,,,,,0
2015-08-01,1,,,,,,0
2015-08-05,1,,,,,,0
2015-08-06,0,,,,,,0
2015-08-07,1,,,,,,0
2015-08-11,1,,,,,,0
2015-08-12,0,,,,,,0
2015-08-14,0,,,,,,0
2015-08-16,1,,,,,,0
2015-08-17,1,,,,,,0
2015-08-18,0,,,,,,0
2015-08-20,1,,,,,,0
2015-08-21,1,,,,,,0
2015-08-22,1,,,,,,0
2015-08-28,0,,,,,,0
2015-09-04,1,,,,,,0
2015-09-05,1,,,,,,0
2015-09-06,1,,,,,,0
2015-09-07,1,,,,,,0
2015-09-09,0,,,,,,0
2015-09-12,0,,,,,,0
2015-09-16,0,,,,,,0
2015-09-24,1,,,,,,0
